model,image,garden,original_width,original_height,input_height,input_width,tp,fp,tn,fn,pred_boundary,true_boundary,matched_pred_boundary,matched_true_boundary,boundary_band_pixels,boundary_band_errors,mowable_iou,nonmowable_false_positive_rate,predicted_mowable_error_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_band_error_rate,model_ms,end_to_end_ms
mit_resnet18_ade20k,images/2G0433933.jpg,2,4000,3000,600,800,8765449,178883,3022103,33565,11354,9276,511,559,42319,20660,0.9763365518673248,0.05588371832928979,0.01999959303836217,0.04500616522811344,0.06026304441569642,0.051528999662846006,0.4881967910394858,126.21635437011719,2716.1626779998187
mit_resnet18_ade20k,images/2G0443979.jpg,2,4000,3000,600,800,2050286,56442,3270560,6622712,17706,20147,662,694,97231,47964,0.23487027804761818,0.016964822984777285,0.02679130860747092,0.037388455890658534,0.034446815903112125,0.03585740611282343,0.493299462105707,174.980224609375,2733.521956000004
mit_resnet18_ade20k,images/2G0443988.jpg,2,4000,3000,600,800,8800207,43026,3154479,2288,8000,8656,2047,2003,40450,17966,0.994877181344095,0.013456116565884963,0.004865415171125763,0.255875,0.23140018484288355,0.24302293298914568,0.4441532756489493,130.2349090576172,2690.4156700002204
mit_resnet18_ade20k,images/2G0444037.jpg,2,4000,3000,600,800,611491,5036,2648226,8735247,16205,8539,2207,2312,38168,16384,0.06538770077206742,0.0018980409774835656,0.00816833650432179,0.13619253316877508,0.2707576999648671,0.18122696109161157,0.4292601131838189,175.07110595703125,2649.3894119994366
mit_resnet18_ade20k,images/2G0444050.jpg,2,4000,3000,600,800,9153575,69357,2740709,36359,11100,8701,826,855,39174,18481,0.9885827111384662,0.024681626694889016,0.007520059781423088,0.07441441441441442,0.09826456729111596,0.08469241780825286,0.471766988308572,226.96652221679688,2846.9737699997495
mit_resnet18_ade20k,images/3G0454094.jpg,3,4000,3000,600,800,9044958,135463,2489351,330228,25509,10899,723,667,51583,23030,0.951034782168914,0.05160860921954851,0.014755641380716635,0.02834293778666353,0.06119827507110744,0.03874280563402007,0.4464649206133804,41.60073471069336,2547.0598869997048
mit_resnet18_ade20k,images/3G0454117.jpg,3,4000,3000,600,800,8036791,22551,2966343,974315,28450,8742,3087,3072,40263,16089,0.8896497841350408,0.0075449313358051506,0.0027981192509264406,0.10850615114235501,0.3514070006863418,0.1658131365773859,0.39959764548096266,151.63491821289062,2651.6143960006957
mit_resnet18_ade20k,images/3G0464148.jpg,3,4000,3000,600,800,1207273,1300,3045517,7745910,17548,8939,664,686,40783,20103,0.13482330582346294,0.0004266747888041848,0.0010756487196056836,0.03783906997948484,0.07674236491777604,0.0506863911962462,0.4929259740578182,156.8750762939453,2694.128783999986
mit_resnet18_ade20k,images/3G0464187.jpg,3,4000,3000,600,800,3711950,75477,2790895,5421678,18644,9199,1056,1025,42742,20332,0.4030739143488971,0.02633189272013542,0.019928304888780696,0.05664020596438533,0.11142515490814218,0.0751034441701229,0.47569135744700763,43.37644958496094,2456.460508999953
mit_resnet18_ade20k,images/3G0474206.jpg,3,4000,3000,600,800,8135245,203593,3656758,4404,9934,11829,542,549,57187,27238,0.9750700027639136,0.05273950477560201,0.024415032406193766,0.054560096637809544,0.046411361907177276,0.05015691418619539,0.4762970605207477,174.50096130371094,2721.0389849997227
mit_resnet18_ade20k,images/3G0474224.jpg,3,4000,3000,600,800,8006199,212623,3734016,47162,11256,10515,1307,1285,49802,22977,0.9685717998002416,0.05387444861311105,0.025870252452237074,0.11611584932480455,0.12220637184973847,0.11908328640360137,0.46136701337295694,121.03545379638672,2670.0121060002857
mit_resnet18_ade20k,images/3G0484259.jpg,3,4000,3000,600,800,9521268,63536,2414186,1010,8229,9274,608,611,42763,19050,0.9932665081963827,0.02564290909149614,0.006628826212826053,0.07388504070968525,0.06588311408238084,0.06965501652789743,0.44547856792086615,170.94773864746094,2692.8471300007004
mit_resnet18_ade20k,images/3G0484309.jpg,3,4000,3000,600,800,8864552,86337,2294635,754476,22644,8923,629,640,41608,19770,0.9133661639721947,0.03626124120737245,0.00964563408170965,0.027777777777777776,0.07172475624789869,0.040046303538466346,0.4751490098058066,199.65110778808594,2777.805927999907
mit_resnet18_ade20k,images/3G0494338.jpg,3,4000,3000,600,800,9289034,20546,2427427,262993,9390,8741,1678,1584,40408,17939,0.9703800639598152,0.00839306642679474,0.0022069738914107834,0.1787007454739084,0.1812149639629333,0.17994907308643757,0.4439467432191645,40.21945571899414,2568.83883699993
mit_resnet18_ade20k,images/3G0494346.jpg,3,4000,3000,600,800,8857057,11010,2434063,697870,24013,8497,3042,2883,39462,17208,0.9258953932061229,0.004502933041262981,0.0012415332450690776,0.12668138091866907,0.3392962221960692,0.18448317550447582,0.4360650752622776,174.36192321777344,2719.7461129999283
mit_resnet18_ade20k,images/3G0494391.jpg,3,4000,3000,600,800,8794088,65040,2608545,532327,15762,8722,343,280,40688,19689,0.936392497222209,0.02432688693271394,0.007341580345153609,0.021761197817535844,0.03210272873194221,0.025939209232241,0.48390188753440816,130.95184326171875,2693.862606000039
mit_resnet18_ade20k,images/3G0494400.jpg,3,4000,3000,600,800,9186796,89347,2723855,2,8000,8794,44,33,40885,19998,0.9903678737234056,0.031759894952442094,0.009631912746493882,0.0055,0.0037525585626563564,0.004461268081654725,0.48912804206921856,174.59405517578125,2753.9656689996264
